Run,barcode,seq_name,pathogen,Biofire positive,mapQ,length,meanDepth,meanDepth_trunc5,meanDepth_trunc10,AuG,AuG_trunc5,AuG_trunc10,bases,bases_perc,Cov1,Cov3,Cov5,Cov10,Cov1_perc,Cov3_perc,Cov5_perc,Cov10_perc,sample num reads,total run reads mapped,total run reads inc unmapped,Sample_reads_percent_of_run,Sample_reads_percent_of_refs,Sample_reads_percent_of_type_run,Sample_reads_percent_of_type_sample,median_read_length,median_aligned_length,mean_read_length,mean_aligned_length,Sample_num_reads_200,Sample_num_reads_300,Sample_num_reads_400,orthoreovirus,zika,MS2,murine_respirovirus,orthoreovirus passed,zika passed,MS2 passed,murine_respirovirus passed,total sample bases,total sample reads,total run bases,total run reads,isSpike,PC_PASSES,PCs_passed,pass,gold_standard,condition,FLU_A_POS,TOP_FLU_A,sample_positive,pooled_with_accession_1,pooled_with_accession_2,pcr_organisms,Unnamed: 5,testcode_inferred,testcode_checked,Batch,test,pathogen_tests,test_type,spiked,MS2_spike,IC_virus_spike
Expt9A_SISPA_Katie,5,S2C,Adenovirus,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,19814731.0,61207.0,530391264.0,1608111.0,0.0,1.0,0,0,0,False,False,False,1,,,HUMAN RHINOVIRUS/ENTEROVIRUS,,RCPR,,1,BIOFIRE,24,BIOFIRE,1,1,1
Expt9A_SISPA_Katie,5,S2C,Bordetella_parapertussis,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,19814731.0,61207.0,530391264.0,1608111.0,0.0,1.0,0,0,0,False,False,False,1,,,HUMAN RHINOVIRUS/ENTEROVIRUS,,RCPR,,1,BIOFIRE,24,BIOFIRE,1,1,1
Expt9A_SISPA_Katie,5,S2C,Bordetella_pertussis,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,19814731.0,61207.0,530391264.0,1608111.0,0.0,1.0,0,0,0,False,False,False,1,,,HUMAN RHINOVIRUS/ENTEROVIRUS,,RCPR,,1,BIOFIRE,24,BIOFIRE,1,1,1
Expt9A_SISPA_Katie,5,S2C,Chlamydia_pneumoniae,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,19814731.0,61207.0,530391264.0,1608111.0,0.0,1.0,0,0,0,False,False,False,1,,,HUMAN RHINOVIRUS/ENTEROVIRUS,,RCPR,,1,BIOFIRE,24,BIOFIRE,1,1,1
Expt9A_SISPA_Katie,5,S2C,Coronavirus 229E,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,19814731.0,61207.0,530391264.0,1608111.0,0.0,1.0,0,0,0,False,False,False,1,,,HUMAN RHINOVIRUS/ENTEROVIRUS,,RCPR,,1,BIOFIRE,24,BIOFIRE,1,1,1
Expt9A_SISPA_Katie,5,S2C,Coronavirus HKU,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,19814731.0,61207.0,530391264.0,1608111.0,0.0,1.0,0,0,0,False,False,False,1,,,HUMAN RHINOVIRUS/ENTEROVIRUS,,RCPR,,1,BIOFIRE,24,BIOFIRE,1,1,1
Expt9A_SISPA_Katie,5,S2C,Coronavirus NL63,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,19814731.0,61207.0,530391264.0,1608111.0,0.0,1.0,0,0,0,False,False,False,1,,,HUMAN RHINOVIRUS/ENTEROVIRUS,,RCPR,,1,BIOFIRE,24,BIOFIRE,1,1,1
Expt9A_SISPA_Katie,5,S2C,Coronavirus OC43,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,19814731.0,61207.0,530391264.0,1608111.0,0.0,1.0,0,0,0,False,False,False,1,,,HUMAN RHINOVIRUS/ENTEROVIRUS,,RCPR,,1,BIOFIRE,24,BIOFIRE,1,1,1
Expt9A_SISPA_Katie,5,S2C,Rhinovirus/enterovirus,1,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,19814731.0,61207.0,530391264.0,1608111.0,0.0,1.0,0,0,1,False,False,False,1,,,HUMAN RHINOVIRUS/ENTEROVIRUS,,RCPR,,1,BIOFIRE,24,BIOFIRE,1,1,1
Expt9A_SISPA_Katie,5,S2C,Influenza A,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,19814731.0,61207.0,530391264.0,1608111.0,0.0,1.0,0,0,0,False,False,False,1,,,HUMAN RHINOVIRUS/ENTEROVIRUS,,RCPR,,1,BIOFIRE,24,BIOFIRE,1,1,1
